,ID,Publication Year,Author,Title,Publication Title,DOI,relevant,Location,Country,Address,Region,Economic value assessed,About MPAs,Considers socio-economic aspects,Useful for equity aspects,Notes,Value,latitude,longitude,geometry
2,3a,,"Pendleton, Linwood H",Understanding the Potential Economic Impact of SCUBA Diving and Snorkeling: California,,,1.0,California,USA,"California, USA",North America,checked,,checked,,exclduing non-market values,annual gross revenue:  diving $138- 276 million and snorkeling  $153-344 million,36.7014631,-118.755997,POINT (-118.755997 36.7014631)
3,4a,2017.0,"Huveneers, Charlie; Meekan, Mark G.; Apps, Kirin; Ferreira, Luciana C.; Pannell, David; Vianna, Gabriel M. S.",The economic value of shark-diving tourism in Australia,Reviews in Fish Biology and Fisheries,10.1007/s11160-017-9486-x,1.0,Port Lincoln,Australia,"Port Lincoln, Australia",Oceania,checked,,,checked,total annual direct expenditure by shark divers in Australia estimated conservatively at $25.5 M,Shark divers expenditure: Australian $ 25.5 million,-34.7284175,135.856319941468,POINT (135.856319941468 -34.7284175)
4,5a,2014.0,"Dicken, Ml","Socio-economic aspects of the Sodwana Bay SCUBA diving industry, with a specific focus on sharks",African Journal of Marine Science,10.2989/1814232X.2014.893257,1.0,Sodwana Bay,South Africa,"Sodwana Bay, South Africa",Africa,checked,,checked,,The direct value of diving to the iSimangaliso Wetland Park was R75 484 784 (95% CI = R73 071 709–R78 682 514),"Total annual value of diving: South African Rand: 75,484,784",-27.548832,32.671184100000005,POINT (32.6711841 -27.548832)
6,7a,2008.0,"Tapsuwan, Sorada; Asafu-Adjaye, John","Estimating the Economic Benefit of SCUBA Diving in the Similan Islands, Thailand",Coastal Management,10.1080/08920750802412908,1.0,Similan Islands,Thailand,"Similan Islands, Thailand",Asia,checked,,,,Similan Islands from SCUBA diving was estimated to be up to US$54.96 m,"annual economic value diving: USD 54,960,000",8.648780499999999,97.64486601887242,POINT (97.64486601887242 8.648780499999999)
7,8a,2020.0,"Rousseau, Sandra; Tejerizo Fuertes, Anthony",Country borders and the value of scuba diving in an estuary,Ocean & Coastal Management,10.1016/j.ocecoaman.2019.105002,1.0,Oosterschelde,Netherlands,"Oosterschelde, Netherlands",Europe,checked,,,,total access value of 21.7 million euro per year for recreational diving in the Oosterschelde,Annual total economic value of diving: 21.7 million euro,51.5916646,3.9015674,POINT (3.9015674 51.5916646)
14,18a,2021.0,"Arcos-Aguilar, Ramiro; Favoretto, Fabio; Kumagai, Joy A.; Jiménez-Esquivel, Victoria; Martínez-Cruz, Adán L.; Aburto-Oropeza, Octavio",Diving tourism in Mexico – Economic and conservation importance,Marine Policy,10.1016/j.marpol.2021.104410,1.0,Mexico,Mexico,"Mexico, Mexico",North America,checked,checked,,checked,,,22.5000485,-100.0000375,POINT (-100.0000375 22.5000485)
17,22a,2020.0,"Cisneros‐Montemayor, Andrés M; Townsel, Amanda; Gonzales, Claire M; Haas, Andrea R; Navarro‐Holm, Estrella E; Salorio‐Zuñiga, Teresa; Johnson, Andrew F",Nature‐based marine tourism in the Gulf of California and Baja California Peninsula: Economic benefits and key species,Natural Resources Forum,10.1111/1477-8947.12193,1.0,Baja California,Mexico,"Baja California, Mexico",North America,checked,,,,,,30.0338923,-115.1425107,POINT (-115.1425107 30.0338923)
24,2,2020.0,"Mustika, PLK; Ichsan, M; Booth, H",The Economic Value of Shark and Ray Tourism in Indonesia and Its Role in Delivering Conservation Outcomes,FRONTIERS IN MARINE SCIENCE,10.3389/fmars.2020.00261,1.0,Indonesia,Indonesia,"Indonesia, Indonesia",Asia,checked,,,,,,-2.4833826,117.89028529999999,POINT (117.8902853 -2.4833826)
29,8,2018.0,"Zimmerhackel, JS; Rogers, AA; Meekan, MG; Ali, K; Pannell, DJ; Kragt, ME",How shark conservation in the Maldives affects demand for dive tourism,TOURISM MANAGEMENT,10.1016/j.tourman.2018.06.009,1.0,Maldives,Maldives,"Maldives, Maldives",Asia,checked,,,,,,4.7064352,73.3287853,POINT (73.32878530000001 4.7064352)
31,10,2018.0,"Vianna, GMS; Meekan, MG; Rogers, AA; Kragt, ME; Alin, JM; Zimmerhackel, JS",Shark-diving tourism as a financing mechanism for shark conservation strategies in Malaysia,MARINE POLICY,10.1016/j.marpol.2018.05.008,1.0,Semporna,Malaysia,"Semporna, Malaysia",Asia,checked,checked,,,,,4.480025599999999,118.61174540000002,POINT (118.6117454 4.480025599999999)
